short,100,H,188,J-Custom_scan,78906817,10.0001,78906817
short,100,H,188,R-hyperscan_build,78,10.082,78
short,100,H,188,R-hyperscan_scan,13664803,10.0002,13664803
short,100,H,188,R-chimera_build,36,10.0817,36
short,100,H,188,R-chimera_scan,1064250,10.0002,1064250
short,100,H,188,J-jsmn_scan,35837206,10.0001,35837206
short,100,H,188,J-RapidJSON_scan,18867236,10.0001,18867236
short,100,H,188,J-RJSON-buf_scan,23223087,10.0001,23223087
short,100,H,188,R-re2_build,5591,10.0012,5591
short,100,H,188,R-re2_scan,28625744,10.0002,28625744
short,100,H,188,R-re2_cap_build,2964,10.0031,2964
short,100,H,188,R-re2_cap_scan,4915081,10.0001,4915081
short,100,H,188,J-simdjson_scan,54717277,10.0001,54717277
short,100,H,188,J-yyjson_scan,53478997,10.0001,53478997
short,100,H,188,J-Custom_scan,68324396,10.0001,68324396
short,100,H,188,R-hyperscan_build,66,10.0331,66
short,100,H,188,R-hyperscan_scan,11863889,10.0001,11863889
short,100,H,188,R-chimera_build,31,10.1861,31
short,100,H,188,R-chimera_scan,882175,10.0001,882175
short,100,H,188,J-jsmn_scan,31280973,10.0001,31280973
short,100,H,188,J-RapidJSON_scan,16248035,10.0002,16248035
short,100,H,188,J-RJSON-buf_scan,17650373,10.0001,17650373
short,100,H,188,R-re2_build,4358,10.0004,4358
short,100,H,188,R-re2_scan,21630492,10.0001,21630492
short,100,H,188,R-re2_cap_build,2451,10.0007,2451
short,100,H,188,R-re2_cap_scan,3896796,10.0001,3896796
short,100,H,188,J-simdjson_scan,41916074,10.0001,41916074
short,100,H,188,J-yyjson_scan,43180608,10.0001,43180608
short,100,H,188,J-Custom_scan,56386717,10.0001,56386717
short,100,H,188,R-hyperscan_build,59,10.1073,59
short,100,H,188,R-hyperscan_scan,10009674,10.0001,10009674
short,100,H,188,R-chimera_build,28,10.2026,28
short,100,H,188,R-chimera_scan,841994,10.0007,841994
short,100,H,188,J-jsmn_scan,28797501,10.0001,28797501
short,100,H,188,J-RapidJSON_scan,14681879,10.0001,14681879
short,100,H,188,J-RJSON-buf_scan,16777851,10.0001,16777851
short,100,H,188,R-re2_build,4383,10.0025,4383
short,100,H,188,R-re2_scan,17211141,10.0001,17211141
short,100,H,188,R-re2_cap_build,2244,10.0031,2244
short,100,H,188,R-re2_cap_scan,3713256,10.0001,3713256
short,100,H,188,J-simdjson_scan,40184114,10.0001,40184114
short,100,H,188,J-yyjson_scan,44719651,10.0002,44719651
short,100,H,188,J-Custom_scan,55032379,10.0001,55032379
short,100,H,188,R-hyperscan_build,43,10.0076,43
short,100,H,188,R-hyperscan_scan,8932651,10.0001,8932651
short,100,H,188,R-chimera_build,23,10.0452,23
short,100,H,188,R-chimera_scan,832626,10.0001,832626
short,100,H,188,J-jsmn_scan,27227840,10.0002,27227840
short,100,H,188,J-RapidJSON_scan,14819495,10.0001,14819495
short,100,H,188,J-RJSON-buf_scan,16562604,10.0002,16562604
short,100,H,188,R-re2_build,4294,10.0003,4294
short,100,H,188,R-re2_scan,19867907,10.0001,19867907
short,100,H,188,R-re2_cap_build,2444,10.0014,2444
short,100,H,188,R-re2_cap_scan,4394599,10.0001,4394599
short,100,H,188,J-simdjson_scan,43172027,10.0001,43172027
short,100,H,188,J-yyjson_scan,43402231,10.0001,43402231
short,100,H,188,J-Custom_scan,53343401,10.0002,53343401
short,100,H,188,R-hyperscan_build,56,10.073,56
short,100,H,188,R-hyperscan_scan,9681753,10.0001,9681753
short,100,H,188,R-chimera_build,28,10.2329,28
short,100,H,188,R-chimera_scan,866212,10.0001,866212
short,100,H,188,J-jsmn_scan,29177228,10.0001,29177228
short,100,H,188,J-RapidJSON_scan,12579346,10.0001,12579346
short,100,H,188,J-RJSON-buf_scan,14841252,10.0001,14841252
short,100,H,188,R-re2_build,3441,10.0021,3441
short,100,H,188,R-re2_scan,10937312,10.0001,10937312
short,100,H,188,R-re2_cap_build,1856,10.0034,1856
short,100,H,188,R-re2_cap_scan,2771018,10.0001,2771018
short,100,H,188,J-simdjson_scan,29326501,10.0001,29326501
short,100,H,188,J-yyjson_scan,39368389,10.0001,39368389
short,100,H,188,J-Custom_scan,49204297,10.0001,49204297
short,100,H,188,R-hyperscan_build,55,10.0477,55
short,100,H,188,R-hyperscan_scan,9944150,10.0001,9944150
short,100,H,188,R-chimera_build,30,10.3525,30
short,100,H,188,R-chimera_scan,842772,10.0001,842772
short,100,H,188,J-jsmn_scan,29687885,10.0001,29687885
short,100,H,188,J-RapidJSON_scan,12896398,10.0002,12896398
short,100,H,188,J-RJSON-buf_scan,14610032,10.0002,14610032
short,100,H,188,R-re2_build,4050,10.0013,4050
short,100,H,188,R-re2_scan,22704534,10.0001,22704534
short,100,H,188,R-re2_cap_build,2514,10.0024,2514
short,100,H,188,R-re2_cap_scan,3519867,10.0001,3519867
short,100,H,188,J-simdjson_scan,45394978,10.0001,45394978
short,100,H,188,J-yyjson_scan,44881680,10.0001,44881680
